id,password,last_login,is_superuser,email,first_name,last_name,date_birth,date_added,is_active,is_staff
1,,,0,augusto23@quiroga.com.ar,Mia Jazmin,Ruiz,1972-08-23,2023-09-26 13:31:44.817364,1,0
2,,,0,dcastro@gmail.com,Isabella,Perez,2023-07-16,2023-09-26 13:31:44.842711,1,0
3,,,0,violeta35@medina.com.ar,Martina,Nuñez,1991-03-05,2023-09-26 13:31:44.889596,1,0
4,,,0,sosasantino@cardozo.net.ar,Elena,Acosta,2006-08-11,2023-09-26 13:31:44.936462,1,0
5,,,0,mateosuarez@diaz.net.ar,Juan Bautista,Benitez,1972-10-11,2023-09-26 13:31:44.967774,1,0
6,,,0,justina69@yahoo.com,Lucía,Gomez,1961-07-14,2023-09-26 13:31:44.999018,1,0
7,,,0,krios@gmail.com,Felipe,Avila,2006-12-03,2023-09-26 13:31:45.030215,1,0
8,,,0,delfinafernandez@rivero-cordoba.net.ar,Martina,Navarro,2021-07-31,2023-09-26 13:31:45.077134,1,0
9,,,0,gabrielruiz@garcia-garcia.net,Maria Victoria,Sanchez,1956-07-28,2023-09-26 13:31:45.139593,1,0
10,,,0,helenarodriguez@gutierrez.ar,Valentino,Roldan,1958-01-06,2023-09-26 13:31:45.202109,1,0
11,,,0,bmendoza@garcia-perez.ar,Thiago,Vega,2016-07-29,2023-09-26 13:31:45.248962,1,0
12,,,0,fflores@hotmail.com,Guadalupe,Ramirez,1987-10-08,2023-09-26 13:31:45.264814,1,0
13,,,0,lopezguillermina@hotmail.com,Sebastian,Cabrera,2002-05-16,2023-09-26 13:31:45.311621,1,0
14,,,0,thiago37@yahoo.com,Thiago Benjamin,Castro,1954-11-18,2023-09-26 13:31:45.342705,1,0
15,,,0,acostaantonia@gmail.com,Camila,Gutierrez,1973-02-04,2023-09-26 13:31:45.358357,1,0
16,,,0,juan-gabrielmartinez@hotmail.com,Juan Ignacio,Mansilla,2013-04-11,2023-09-26 13:31:45.389601,1,0
17,,,0,pereyralucia@lopez.org,Olivia,Perez,1984-06-20,2023-09-26 13:31:45.417438,1,0
18,,,0,munozdelfina@mendez-sanchez.com,Thiago Daniel,Rios,1984-08-04,2023-09-26 13:31:45.449210,1,0
19,,,0,quirogavalentina@nunez-perez.ar,Ana Paula,Lopez,1966-02-17,2023-09-26 13:31:45.483948,1,0
20,,,0,fvega@gmail.com,Martina,Maldonado,2001-07-28,2023-09-26 13:31:45.504354,1,0
21,,,0,tiziano82@gmail.com,Juan Gabriel,Martinez,2001-07-04,2023-09-26 13:31:45.557395,1,0
22,,,0,castroisabella@mansilla.net,Juan Manuel,Ledesma,2006-03-05,2023-09-26 13:31:45.583901,1,0
23,,,0,kpereyra@gmail.com,Mora,Diaz,1997-07-23,2023-09-26 13:31:45.598784,1,0
24,,,0,thiago-valentinflores@gmail.com,Joaquin,Cordoba,2023-09-06,2023-09-26 13:31:45.614648,1,0
25,,,0,lopezsofia-belen@yahoo.com,Thiago Benjamin,Torres,2022-02-19,2023-09-26 13:31:45.645712,1,0
26,,,0,guillerminadiaz@ruiz.net,Lucas,Ramos,1951-09-29,2023-09-26 13:31:45.708183,1,0
27,,,0,suarezisabella@yahoo.com,Lucía,Toledo,2001-11-19,2023-09-26 13:31:45.755117,1,0
